Distance_m,Initial_Water_Depth_m,Final_Water_Depth_m,Initial_Flow_Rate_m3s,Final_Flow_Rate_m3s
0.0,5.0,5.0,5.0,5.0
20.408163265306122,5.0,5.0,5.0,5.0
40.816326530612244,5.0,5.0,5.0,5.0
61.224489795918366,5.0,5.0,5.0,5.0
81.63265306122449,5.0,5.0,5.0,5.0
102.0408163265306,5.0,5.0,5.0,5.0
122.44897959183673,5.0,5.0,5.0,5.0
142.85714285714286,5.0,5.0,5.0,5.0
163.26530612244898,5.0,5.0,5.0,5.0
183.6734693877551,5.0,5.0,5.0,5.0
204.0816326530612,5.0,5.0,5.0,5.0
224.48979591836735,5.0,5.0,5.0,5.0
244.89795918367346,5.0,5.0,5.0,5.0
265.3061224489796,5.0,5.0,5.0,5.0
285.7142857142857,5.0,5.0,5.0,5.0
306.1224489795918,5.0,5.0,5.0,5.0
326.53061224489795,5.0,5.0,5.0,5.0
346.9387755102041,5.0,5.0,5.0,5.0
367.3469387755102,5.0,5.0,5.0,5.0
387.7551020408163,5.0,5.0,5.0,5.0
408.1632653061224,5.0,5.0,5.0,5.0
428.57142857142856,5.0,5.0,5.0,5.0
448.9795918367347,5.0,5.0,5.0,5.0
469.3877551020408,5.0,5.0,5.0,5.0
489.7959183673469,5.0,5.0,5.0,5.0
510.2040816326531,5.0,5.0,5.0,5.0
530.6122448979592,5.0,5.0,5.0,5.0
551.0204081632653,5.0,5.0,5.0,5.0
571.4285714285714,5.0,5.0,5.0,5.0
591.8367346938776,5.0,5.0,5.0,5.0
612.2448979591836,5.0,5.0,5.0,5.0
632.6530612244898,5.0,5.0,5.0,5.0
653.0612244897959,5.0,5.0,5.0,5.0
673.469387755102,5.0,5.0,5.0,5.0
693.8775510204082,5.0,5.0,5.0,5.0
714.2857142857142,5.0,5.0,5.0,5.0
734.6938775510204,5.0,5.0,5.0,5.0
755.1020408163265,5.0,5.0,5.0,5.0
775.5102040816327,5.0,5.0,5.0,5.0
795.9183673469388,5.0,5.0,5.0,5.0
816.3265306122448,5.0,5.0,5.0,5.0
836.734693877551,5.0,5.0,5.0,5.0
857.1428571428571,5.0,5.0,5.0,5.0
877.5510204081633,5.0,5.0,5.0,5.0
897.9591836734694,5.0,5.0,5.0,5.0
918.3673469387755,5.0,5.0,5.0,5.0
938.7755102040816,5.0,5.0,5.0,5.0
959.1836734693877,5.0,5.0,5.0,5.0
979.5918367346939,5.0,5.0,5.0,5.0
1000.0,5.0,5.0,5.0,5.0
