Method,Position (m),Water_Depth (m),Discharge (m³/s)
EXPLICIT,0.0,0.8064831014914533,8.0
EXPLICIT,5.0,0.8064831015331488,8.000000008927891
EXPLICIT,10.0,0.8064831016283616,8.000000013948798
EXPLICIT,15.0,0.8064831017784989,8.00000001931621
EXPLICIT,20.0,0.8064831019874741,8.000000024510113
EXPLICIT,25.0,0.8064831022520025,8.000000028935327
EXPLICIT,30.0,0.8064831025602797,8.000000031942346
EXPLICIT,35.0,0.8064831028917359,8.00000003505944
EXPLICIT,40.0,0.8064831032427641,8.00000003796498
EXPLICIT,45.0,0.8064831035998485,8.000000040838014
EXPLICIT,50.0,0.8064831039557676,8.00000004388607
EXPLICIT,55.0,0.8064831043078878,8.000000047224773
EXPLICIT,60.0,0.8064831046559473,8.000000050776405
EXPLICIT,65.0,0.8064831049987649,8.000000054558868
EXPLICIT,70.0,0.8064831053385031,8.000000058532464
EXPLICIT,75.0,0.8064831056769949,8.00000006264515
EXPLICIT,80.0,0.8064831060157067,8.000000066851987
EXPLICIT,85.0,0.806483106355903,8.000000071125882
EXPLICIT,90.0,0.8064831066987092,8.000000075442014
EXPLICIT,95.0,0.8064831070445282,8.000000079789404
EXPLICIT,100.0,0.8064831073935136,8.00000008416502
EXPLICIT,105.0,0.8064831077456105,8.000000088571477
EXPLICIT,110.0,0.8064831081005999,8.000000093014142
EXPLICIT,115.0,0.806483108458181,8.000000097499903
EXPLICIT,120.0,0.8064831088180955,8.00000010203487
EXPLICIT,125.0,0.806483109180118,8.000000106624046
EXPLICIT,130.0,0.8064831095440823,8.000000111270811
EXPLICIT,135.0,0.8064831099098877,8.000000115977002
EXPLICIT,140.0,0.8064831102774864,8.000000120743191
EXPLICIT,145.0,0.8064831106468657,8.000000125569125
EXPLICIT,150.0,0.8064831110180355,8.000000130454017
EXPLICIT,155.0,0.8064831113910149,8.00000013539691
EXPLICIT,160.0,0.806483111765822,8.000000140396885
EXPLICIT,165.0,0.8064831121424676,8.000000145453201
EXPLICIT,170.0,0.8064831125209537,8.00000015056533
EXPLICIT,175.0,0.8064831129012722,8.00000015573297
EXPLICIT,180.0,0.8064831132834069,8.000000160955995
EXPLICIT,185.0,0.8064831136673358,8.000000166234404
EXPLICIT,190.0,0.8064831140530322,8.000000171568262
EXPLICIT,195.0,0.8064831144404685,8.000000176957656
EXPLICIT,200.0,0.8064831148296159,8.00000018240266
EXPLICIT,205.0,0.8064831152204464,8.000000187903307
EXPLICIT,210.0,0.8064831156129327,8.000000193459599
EXPLICIT,215.0,0.8064831160070491,8.000000199071483
EXPLICIT,220.0,0.8064831164027702,8.000000204738873
EXPLICIT,225.0,0.806483116800071,8.000000210461653
EXPLICIT,230.0,0.8064831171989272,8.00000021623969
EXPLICIT,235.0,0.8064831175993137,8.000000222072824
EXPLICIT,240.0,0.8064831180012054,8.000000227960896
EXPLICIT,245.0,0.8064831184045769,8.000000233903743
EXPLICIT,250.0,0.8064831188094017,8.000000239901183
EXPLICIT,255.0,0.8064831192156532,8.000000245953045
EXPLICIT,260.0,0.8064831196233039,8.000000252059138
EXPLICIT,265.0,0.8064831200323259,8.000000258219279
EXPLICIT,270.0,0.8064831204426913,8.000000264433261
EXPLICIT,275.0,0.806483120854371,8.00000027070088
EXPLICIT,280.0,0.8064831212673361,8.000000277021915
EXPLICIT,285.0,0.8064831216815573,8.000000283396137
EXPLICIT,290.0,0.8064831220970046,8.000000289823303
EXPLICIT,295.0,0.8064831225136482,8.000000296303163
EXPLICIT,300.0,0.8064831229314574,8.000000302835453
EXPLICIT,305.0,0.8064831233504017,8.0000003094199
EXPLICIT,310.0,0.80648312377045,8.000000316056212
EXPLICIT,315.0,0.8064831241915706,8.000000322744102
EXPLICIT,320.0,0.8064831246137324,8.000000329483257
EXPLICIT,325.0,0.8064831250369027,8.000000336273361
EXPLICIT,330.0,0.8064831254610492,8.000000343114085
EXPLICIT,335.0,0.8064831258861389,8.000000350005095
EXPLICIT,340.0,0.8064831263121395,8.000000356946034
EXPLICIT,345.0,0.8064831267390165,8.000000363936547
EXPLICIT,350.0,0.8064831271667369,8.000000370976263
EXPLICIT,355.0,0.8064831275952664,8.000000378064795
EXPLICIT,360.0,0.8064831280245702,8.000000385201755
EXPLICIT,365.0,0.8064831284546141,8.000000392386735
EXPLICIT,370.0,0.8064831288853629,8.000000399619323
EXPLICIT,375.0,0.8064831293167811,8.00000040689909
EXPLICIT,380.0,0.8064831297488333,8.0000004142256
EXPLICIT,385.0,0.8064831301814834,8.000000421598406
EXPLICIT,390.0,0.8064831306146951,8.000000429017046
EXPLICIT,395.0,0.8064831310484322,8.00000043648105
EXPLICIT,400.0,0.8064831314826575,8.00000044398994
