Method,Position (m),Water_Depth (m),Discharge (m^3/s)
EXPLICIT,0.0,0.806483090043893,8.0
EXPLICIT,5.0,0.8064830900613706,8.000000003316842
EXPLICIT,10.0,0.8064830901013187,8.00000000511258
EXPLICIT,15.0,0.8064830901642493,8.000000006988179
EXPLICIT,20.0,0.8064830902517267,8.000000008747346
EXPLICIT,25.0,0.8064830903623093,8.000000010172364
EXPLICIT,30.0,0.806483090491021,8.00000001103242
EXPLICIT,35.0,0.8064830906292519,8.000000011923616
EXPLICIT,40.0,0.8064830907754281,8.000000012730057
EXPLICIT,45.0,0.8064830909241308,8.000000013526876
EXPLICIT,50.0,0.8064830910724643,8.00000001439616
EXPLICIT,55.0,0.8064830912194084,8.000000015381913
EXPLICIT,60.0,0.8064830913649296,8.000000016453352
EXPLICIT,65.0,0.8064830915086395,8.000000017615832
EXPLICIT,70.0,0.8064830916514554,8.000000018852118
EXPLICIT,75.0,0.8064830917941576,8.0000000201407
EXPLICIT,80.0,0.8064830919373663,8.000000021463313
EXPLICIT,85.0,0.8064830920816052,8.00000002280893
EXPLICIT,90.0,0.8064830922273291,8.000000024167813
EXPLICIT,95.0,0.8064830923747001,8.000000025535888
EXPLICIT,100.0,0.8064830925237765,8.000000026912323
EXPLICIT,105.0,0.8064830926745331,8.00000002829853
EXPLICIT,110.0,0.8064830928268794,8.000000029697002
EXPLICIT,115.0,0.8064830929806949,8.000000031110792
EXPLICIT,120.0,0.8064830931358782,8.000000032542575
EXPLICIT,125.0,0.8064830932923432,8.000000033994539
EXPLICIT,130.0,0.8064830934500289,8.000000035468192
EXPLICIT,135.0,0.806483093608902,8.000000036964392
EXPLICIT,140.0,0.8064830937689504,8.000000038483492
EXPLICIT,145.0,0.8064830939301775,8.000000040025487
EXPLICIT,150.0,0.8064830940925951,8.000000041590168
EXPLICIT,155.0,0.8064830942562202,8.000000043177236
EXPLICIT,160.0,0.8064830944210691,8.000000044786418
EXPLICIT,165.0,0.8064830945871565,8.000000046417476
EXPLICIT,170.0,0.8064830947544945,8.000000048070254
EXPLICIT,175.0,0.8064830949230917,8.000000049744655
EXPLICIT,180.0,0.8064830950929558,8.000000051440628
EXPLICIT,185.0,0.8064830952640936,8.000000053158141
EXPLICIT,190.0,0.8064830954365111,8.000000054897159
EXPLICIT,195.0,0.8064830956102164,8.000000056657619
EXPLICIT,200.0,0.8064830957852185,8.000000058439422
EXPLICIT,205.0,0.8064830959615289,8.000000060242423
EXPLICIT,210.0,0.8064830961391616,8.000000062066418
EXPLICIT,215.0,0.8064830963181326,8.000000063911168
EXPLICIT,220.0,0.8064830964984601,8.000000065776385
EXPLICIT,225.0,0.806483096680164,8.000000067661748
EXPLICIT,230.0,0.8064830968632666,8.000000069566898
EXPLICIT,235.0,0.8064830970477911,8.000000071491458
EXPLICIT,240.0,0.8064830972337624,8.000000073435027
EXPLICIT,245.0,0.8064830974212063,8.000000075397201
EXPLICIT,250.0,0.8064830976101496,8.000000077377555
EXPLICIT,255.0,0.8064830978006199,8.000000079375674
EXPLICIT,260.0,0.806483097992645,8.000000081391137
EXPLICIT,265.0,0.8064830981862536,8.000000083423531
EXPLICIT,270.0,0.8064830983814741,8.000000085472452
EXPLICIT,275.0,0.8064830985783352,8.000000087537517
EXPLICIT,280.0,0.8064830987768655,8.000000089618354
EXPLICIT,285.0,0.806483098977093,8.000000091714613
EXPLICIT,290.0,0.8064830991790453,8.00000009382598
EXPLICIT,295.0,0.8064830993827495,8.000000095952156
EXPLICIT,300.0,0.8064830995882317,8.000000098092883
EXPLICIT,305.0,0.8064830997955176,8.000000100247929
EXPLICIT,310.0,0.8064831000046314,8.0000001024171
EXPLICIT,315.0,0.8064831002155968,8.000000104600229
EXPLICIT,320.0,0.8064831004284363,8.000000106797193
EXPLICIT,325.0,0.8064831006431715,8.000000109007887
EXPLICIT,330.0,0.8064831008598231,8.000000111232248
EXPLICIT,335.0,0.806483101078411,8.000000113470234
EXPLICIT,340.0,0.8064831012989541,8.00000011572183
EXPLICIT,345.0,0.8064831015214711,8.000000117987039
EXPLICIT,350.0,0.80648310174598,8.000000120265888
