Method,Scenario,Direction,K (gain),tau (delay_s),T (time_const_s),R_squared
EXPLICIT,upstream_flow,Q_to_h,0.11885030868144149,102.70663101926931,9.696226905107535,0.9943402018703196
EXPLICIT,upstream_flow,Q_to_Q,1.7486561856995269,375.22735662594454,130.73672457869708,0.6306481249467315
EXPLICIT,upstream_flow,h_to_h,0.1132505528588694,71.02185753346717,113.40927567248757,0.9732986365361516
EXPLICIT,upstream_flow,h_to_Q,1.9687169881783209,101.64225484569018,7.775769051670267,0.9988386899042099
EXPLICIT,downstream_depth,Q_to_h,0.1884282158381294,103.29403404958026,7.795458049205094,0.999314168815565
EXPLICIT,downstream_depth,Q_to_Q,-0.1569442562559906,100.00790693075326,0.1621005574064677,-0.2675439809966824
EXPLICIT,downstream_depth,h_to_h,0.006207725066533741,484.9999732215358,60.788449187833,0.9944242986084211
EXPLICIT,downstream_depth,h_to_Q,0.0027913265564589833,429.9999782609307,499.9994209381393,0.014186087764782251
PREISSMANN,upstream_flow,Q_to_h,0.11722656079842038,100.0000002774124,19.263060403962754,0.9972437435994468
PREISSMANN,upstream_flow,Q_to_Q,0.7901248907600434,608.6008903094063,32.30664528998616,-0.020442884713756992
PREISSMANN,upstream_flow,h_to_h,0.1008823048611479,74.22621613444072,119.48505746310114,0.9769448133359389
PREISSMANN,upstream_flow,h_to_Q,1.9516622363845955,99.99999981377496,15.844461670135509,0.9990667731175116
PREISSMANN,downstream_depth,Q_to_h,0.18950690965141814,100.5669807739958,17.48788855210784,0.9997614989607276
PREISSMANN,downstream_depth,Q_to_Q,-0.43780513203331883,102.36451944561608,0.1022804742058504,-0.3253084471370642
PREISSMANN,downstream_depth,h_to_h,-6.762690842122479e-05,566.827727190639,48.03469315356785,0.019131355814744344
PREISSMANN,downstream_depth,h_to_Q,-0.002183978486112874,612.4999999999978,81.94326297556482,0.18325777666549425
HLL,upstream_flow,Q_to_h,0.12169849377009709,102.71535380000942,4.232328087892793,0.997717135880253
HLL,upstream_flow,Q_to_Q,1.9806961934966394,275.8147930234667,127.769602039933,0.7955989725190284
HLL,upstream_flow,h_to_h,0.1262668754218197,60.3878307805224,195.44017571892013,0.9761531059963185
HLL,upstream_flow,h_to_Q,1.9665443941827008,101.44126054041737,5.390607097582951,0.9973492372819149
HLL,downstream_depth,Q_to_h,0.19520051629612264,101.94557769901455,4.267496492908745,0.9994021607855852
HLL,downstream_depth,Q_to_Q,1.5840030129619154,251.97754974837855,148.83706715603304,0.4813556901390805
HLL,downstream_depth,h_to_h,0.04663245645687107,324.44013435802646,13.847813116728174,0.9913347662251291
HLL,downstream_depth,h_to_Q,0.021400809442142284,304.92849791695534,0.10000499692937778,0.03551067635996885
