Time_s,Gate_Flow_m3s,Inlet_h_m,Inlet_Q_m3s,Gate_Up_h_m,Gate_Up_Q_m3s,Gate_Down_h_m,Gate_Down_Q_m3s,Outlet_h_m,Outlet_Q_m3s
0.0,9.438859201894225,1.1624794462341472,10.000122284208969,1.1731886738537478,9.529498027303664,1.1632534426355225,9.462794243696214,1.162492512686768,9.99999102849982
2.0,9.464811785740673,1.1624794163905392,10.000121090129754,1.1732456930192128,9.546305112242965,1.1632545280653392,9.479313394987269,1.162492236714055,9.999979065255802
4.0,9.484788272628807,1.1624793878829005,10.000119850142713,1.1732954238768327,9.563333399339294,1.1632618542210778,9.49616042229636,1.1624919568227807,9.99996695479322
6.0,9.500242100134558,1.162479360736529,10.000118565033407,1.1733402933391321,9.579259919399723,1.163273382420081,9.511976960369164,1.1624916690221383,9.999954703394934
8.0,9.513313319032822,1.162479334967073,10.000117235810134,1.1733819795172167,9.59360794490657,1.163287554728168,9.526260510388518,1.162491378724623,9.999942309845212
10.0,9.524462772789128,1.1624793105854974,10.000115863454216,1.1734213640047182,9.60659047482785,1.1633035823277231,9.53921112677972,1.162491082749422,9.999929781053773
12.0,9.533899749891303,1.1624792875998278,10.000114448856204,1.1734590304196963,9.61834213081257,1.163320926188779,9.550954760860606,1.1624907805542557,9.999917124173578
14.0,9.542647712720846,1.1624792660160406,10.000112992813602,1.1734954153825885,9.628942855262192,1.1633391847135008,9.561564912371095,1.1624904725269143,9.999904343209774
16.0,9.550522331429928,1.1624792458386017,10.000111496045424,1.1735306908405003,9.638695505458639,1.1633582095225676,9.571342155286912,1.162490158831026,9.999891442374032
18.0,9.557698496545829,1.1624792270708353,10.000109959209293,1.1735650277202847,9.647683544061188,1.1633778348666919,9.580367398304736,1.1624898393731071,9.999878426539514
20.0,9.563978352582092,1.1624792097151817,10.000108382916729,1.1735985505265831,9.656001001014703,1.1633979454098364,9.588732882481384,1.1624895139335865,9.999865301006606
22.0,9.570107789653811,1.1624791937733834,10.00010676774564,1.1736314158881815,9.663641158321346,1.163418391913905,9.596429511908878,1.1624891822651888,9.999852071195612
24.0,9.575761107964833,1.1624791792466165,10.000105114250186,1.1736636253704,9.670813978877318,1.163439179861232,9.603667408760398,1.1624888441437826,9.999838742441597
26.0,9.58101639706404,1.1624791661355878,10.000103422968419,1.1736952385504298,9.677531883410897,1.163460244889015,9.610458020300884,1.162488499388476,9.999825319890565
28.0,9.585912952399251,1.1624791544406015,10.000101694428142,1.173726304462169,9.683833146676227,1.1634815405939578,9.616838892573188,1.1624881478657971,9.999811808463663
30.0,9.590488982273417,1.162479144161608,10.000099929151423,1.1737568654380288,9.68975264273656,1.1635030256676206,9.62284424954069,1.162487788291187,9.999798212859673
32.0,9.594775472903072,1.1624791352982375,10.000098127658017,1.1737869564159962,9.695322778238022,1.16352466595283,9.628505956133353,1.1624874255317883,9.999784532420545
34.0,9.598798673883906,1.1624791278498239,10.000096290467992,1.1738166067530098,9.700572369378271,1.163546432535418,9.63385236570706,1.162487054194522,9.999770776695822
36.0,9.602580997854918,1.1624791218154218,10.000094418103707,1.1738458414418342,9.705526913442409,1.163568300669267,9.638908574580935,1.1624866770904658,9.999756948703663
38.0,9.606141852794657,1.1624791171938167,10.000092511091315,1.173874682049104,9.710208959337592,1.1635902489100307,9.643696779148856,1.162486294284233,9.999743051840245
40.0,9.609498224537033,1.1624791139835327,10.000090569961891,1.1739031473962385,9.714638517140648,1.1636122584897148,9.648236675873562,1.1624859037432467,9.999729092669579
42.0,9.612665114147122,1.1624791121828377,10.000088595252251,1.173931254067014,9.718833424930567,1.1636343128473785,9.652545821056192,1.1624855086585197,9.999715072108021
44.0,9.615655869857093,1.1624791117897448,10.000086587505553,1.1739590167933873,9.722809662103334,1.1636563972705483,9.65663993882507,1.1624851083929453,9.9997009952293
46.0,9.618181997142118,1.162479112802015,10.000084547271726,1.173986448755395,9.72658161115474,1.1636784986147308,9.660533178800366,1.1624847004093786,9.999686870247773
48.0,9.620922320636549,1.1624791152171585,10.000082475107735,1.174013622465085,9.730077975632172,1.1637005465103338,9.664153046715224,1.1624842876850632,9.999672698970281
50.0,9.623484064733715,1.1624791190324326,10.000080371577761,1.1740404747163702,9.733456424858298,1.163722607595031,9.667658291702011,1.1624838695514097,9.99965848669991
52.0,9.625904494726154,1.1624791242448433,10.000078237253257,1.1740670170529675,9.736682340982586,1.16374466320676,9.671013992595094,1.1624834435272113,9.999644241480523
54.0,9.62818943356086,1.1624791308511462,10.000076072712949,1.1740932604549672,9.739756596177916,1.1637667037744441,9.67422082865137,1.1624830114820213,9.999629964756522
56.0,9.630350008389069,1.1624791388478448,10.000073878542775,1.1741192165331635,9.74268319524141,1.1637887180481368,9.677282588875226,1.1624825765611213,9.999615656250802
58.0,9.632394764366126,1.1624791482311931,10.000071655335768,1.1741448949773003,9.745468775436155,1.1638106968783872,9.68020572848548,1.16248213710473,9.999601323660254
60.0,9.634331150395516,1.1624791589971946,10.000069403691915,1.1741703041375198,9.748120372522573,1.1638326324131514,9.682997122225169,1.1624816899541464,9.99958697727224
62.0,9.636165652390376,1.162479171141603,10.000067124217988,1.1741954513415127,9.750644898296297,1.1638545178402178,9.68566353723363,1.1624812366898316,9.999572619743482
64.0,9.637904060690515,1.162479184659922,10.000064817527356,1.1742203431645,9.75304890854944,1.1638763471288085,9.688211396690786,1.1624807804057073,9.999558251140215
66.0,9.63955162136995,1.1624791995474053,10.000062484239804,1.1742449856024715,9.755338548964366,1.1638981148681806,9.690646723067427,1.1624803183086205,9.999543878978667
68.0,9.641113140159748,1.1624792157990567,10.000060124981328,1.1742693841877891,9.757519558786697,1.1639198161580397,9.69297514006066,1.1624798522611572,9.999529507955595
70.0,9.642593052681274,1.1624792334096277,10.000057740383934,1.1742935440680586,9.75959729598745,1.1639414465328715,9.695201896594122,1.1624793797740651,9.999515145430612
72.0,9.643995474950446,1.1624792523736203,10.00005533108542,1.1743174700626815,9.761576767774038,1.1639630019067386,9.697331896507459,1.1624789019270743,9.999500794944563
74.0,9.645324241520333,1.1624792726852835,10.000052897729162,1.1743411667054169,9.76346266072122,1.1639844785309659,9.699369728074757,1.1624784202278047,9.999486457649127
76.0,9.646582935666538,1.1624792943386175,10.000050440963875,1.174364638277849,9.765259368569506,1.164005872960244,9.701319691323462,1.162477935449966,9.99947213643181
78.0,9.64777491414936,1.1624793173273704,10.000047961443356,1.1743878888366397,9.766971017255301,1.164027182024538,9.703185822674254,1.1624774489945935,9.99945783606275
80.0,9.648903328097207,1.162479341645045,10.000045459826213,1.1744109222363146,9.768601487269652,1.164048402805199,9.704971916972466,1.162476957061356,9.999443567653818
82.0,9.649971140959888,1.1624793672848976,10.000042936775582,1.1744337421486946,9.770154433612642,1.164069532614273,9.706681547161955,1.162476459932687,9.999429337618988
84.0,9.650981144176434,1.1624793942399452,10.000040392958812,1.1744563520797018,9.771633303631875,1.164090568976334,9.708318081879273,1.16247595880978,9.999415148478624
86.0,9.65193597098531,1.162479422502968,10.000037829047152,1.174478755384048,9.773041353016808,1.1641115096123749,9.709884701232628,1.162475455637527,9.999401003358436
88.0,9.652838108698864,1.1624794520665152,10.000035245715406,1.174500955278181,9.774381660182728,1.1641323524254084,9.711384410994299,1.1624749470037625,9.999386911773822
90.0,9.653689909675526,1.1624794829229117,10.000032643641607,1.1745229548517617,9.775657139246777,1.164153095487521,9.71282005540506,1.1624744334360628,9.999372878901152
92.0,9.65449360118718,1.162479515064263,10.000030023506687,1.1745447570778902,9.776870551766562,1.164173737028177,9.714194328758108,1.162473916288274,9.999358906359438
94.0,9.6552512943178,1.1624795484824622,10.000027385994137,1.1745663648222608,9.778024517390403,1.1641942754236063,9.715509785909218,1.1624733964080731,9.999344996623831
96.0,9.655964992026167,1.1624795831691952,10.0000247317897,1.1745877808513776,9.77912152354208,1.1642147091871362,9.716768851834056,1.1624728741717993,9.999331153578368
98.0,9.656636596469369,1.1624796191159465,10.000022061581076,1.1746090078399591,9.780163934249895,1.1642350369603658,9.717973830340846,1.1624723496960758,9.999317382113423
100.0,9.657267915678078,1.1624796563140043,10.000019376057644,1.174630048377623,9.781153998212693,1.1642552575050733,9.719126912029749,1.1624718229904212,9.999303687639122
102.0,9.657860669651862,1.162479694754464,10.00001667591021,1.1746509049749376,9.782093856185181,1.164275369695788,9.720230181580122,1.1624712940396762,9.999290075744385
104.0,9.658416495937187,1.162479734428231,10.000013961830785,1.1746715800689158,9.782985547752453,1.1642953725129466,9.721285624434621,1.1624707616459808,9.999276552000559
106.0,9.658936954751471,1.162479775326025,10.000011234512376,1.1746920760280046,9.783831017555293,1.1643152650365796,9.7222951329409,1.1624702295551455,9.999263116708912
108.0,9.659423533687882,1.1624798174383792,10.000008494648824,1.1747123951566345,9.784632121023046,1.1643350464404718,9.72326051200694,1.162469697361243,9.99924977524298
110.0,9.659877652054423,1.1624798607556421,10.000005742934636,1.1747325396993653,9.785390629659624,1.1643547159867509,9.724183484315013,1.162469163763628,9.999236536809809
112.0,9.660300664871817,1.1624799052679768,10.000002980064847,1.1747525118446798,9.78610823592746,1.1643742730208642,9.725065695138497,1.1624686267786912,9.999223409727929
114.0,9.660693866575512,1.1624799509653605,10.000000206734905,1.1747723137284511,9.78678655776482,1.1643937169669072,9.725908716796472,1.1624680898491522,9.99921039555354
116.0,9.661058494435595,1.1624799978375833,9.99999742364056,1.1747919474371227,9.787427142772676,1.1644130473232728,9.72671405278192,1.162467552543489,9.999197499794018
118.0,9.661395731737048,1.1624800458742466,9.999994631477735,1.1748114150106264,9.788031472098154,1.164432263658588,9.727483141590142,1.1624670136612463,9.999184731147981
120.0,9.661706710722914,1.162480095064761,9.999991830942449,1.1748307184450635,9.788600964044814,1.1644513656079223,9.72821736027731,1.1624664725565332,9.999172097129126
122.0,9.661992515339339,1.1624801453983458,9.999989022730675,1.174849859695171,9.789136977429724,1.1644703528692357,9.728918027768827,1.162465929094945,9.999159603554983
124.0,9.662254183786672,1.1624801968640264,9.99998620753824,1.1748688406765935,9.789640814712293,1.164489225200051,9.72958640794225,1.1624653834348493,9.999147254989593
126.0,9.662492710900077,1.1624802494506343,9.999983386060682,1.1748876632679772,9.790113724911926,1.1645079824143314,9.730223712501482,1.1624648346732402,9.999135055266441
128.0,9.662709050371411,1.1624803031468056,9.999980558993101,1.174906329312903,9.79055690633293,1.164526624379547,9.730831103660607,1.1624642868709918,9.999123002705632
130.0,9.662904116826573,1.162480357940983,9.999977727029995,1.1749248406216735,9.790971509112069,1.1645451510139142,9.731409696652461,1.162463738717644,9.999111100717789
132.0,9.663078787766908,1.1624804138214153,9.99997489086507,1.1749431989729624,9.791358637603219,1.1645635622837966,9.731960562076257,1.1624631928859468,9.999099351536145
134.0,9.663233905391573,1.1624804707761605,9.999972051191042,1.1749614061153446,9.791719352611118,1.1645818582012541,9.732484728096148,1.1624626483396123,9.999087761923237
136.0,9.6633702783028,1.1624805287930884,9.999969208699396,1.1749794637687125,9.792054673487325,1.1646000388217292,9.732983182503613,1.1624621035929334,9.99907634122738
138.0,9.663488683109033,1.1624805878598836,9.999966364080146,1.1749973736255879,9.79236558009742,1.1646181042418609,9.733456874652688,1.162461556728958,9.999065096972046
140.0,9.663589865931437,1.1624806479640528,9.99996351802156,1.1750151373523405,9.792653014670185,1.1646360545974166,9.73390671727855,1.1624610113641065,9.999054029418229
142.0,9.66367454381869,1.1624807090929286,9.999960671209877,1.1750327565903198,9.792917883537301,1.1646538900613366,9.734333588208006,1.1624604660725641,9.999043142592623
144.0,9.663743406081476,1.1624807712336769,9.999957824329003,1.175050232956907,9.793161058770888,1.164671610841876,9.734738331969005,1.1624599235672735,9.999032438556025
146.0,9.663797115548551,1.1624808343733055,9.999954978060195,1.1750675680464915,9.793383379727178,1.1646892171808485,9.735121761307495,1.1624593829113845,9.999021923499175
148.0,9.663836309751789,1.1624808984986714,9.99995213308173,1.1750847634313815,9.793585654502369,1.1647067093519543,9.73548465861748,1.1624588427311486,9.999011606035705
150.0,9.663861602045362,1.1624809635964906,9.999949290068564,1.1751018206626522,9.793768661306979,1.1647240876591942,9.735827777290615,1.1624583012141017,9.99900149292046
152.0,9.663873582662116,1.1624810296533483,9.999946449692011,1.1751187412709359,9.793933149764477,1.164741352435361,9.736151842991017,1.1624577608711344,9.998991583675316
154.0,9.66387281971381,1.1624810966557084,9.99994361261938,1.1751355267671568,9.794079842139004,1.1647585040406043,9.736457554860037,1.1624572252679883,9.998981876488566
156.0,9.663859860135618,1.1624811645899247,9.999940779513636,1.1751521786432209,9.79420943449742,1.1647755428610638,9.736745586656204,1.1624566929969957,9.998972378026474
158.0,9.663835230581428,1.1624812334422514,9.99993795103309,1.1751686983726557,9.794322597809346,1.1647924693075673,9.737016587833923,1.1624561622476652,9.998963097914489
160.0,9.663799438273843,1.1624813031988555,9.999935127831034,1.1751850874112113,9.794419978989694,1.16480928381439,9.737271184565401,1.1624556309779037,9.998954043525483
162.0,9.663752971808604,1.162481373845825,9.999932310555458,1.1752013471974212,9.794502201887779,1.1648259868380677,9.737509980709863,1.1624551016160918,9.998945214532545
164.0,9.663696301917142,1.1624814453691825,9.999929499848722,1.1752174791531256,9.794569868225746,1.1648425788562689,9.737733558732714,1.1624545777225879,9.998936608957376
166.0,9.663629882191957,1.162481517754895,9.999926696347291,1.1752334846839627,9.794623558489391,1.1648590603667124,9.737942480577724,1.1624540579172764,9.998928233125913
168.0,9.663554149777674,1.1624815909888837,9.999923900681447,1.1752493651798295,9.794663832774823,1.1648754318861374,9.73813728849564,1.162453540427105,9.998920096246806
170.0,9.663469526024745,1.1624816650570338,9.999921113475047,1.1752651220153112,9.794691231594095,1.1648916939493144,9.73831850583231,1.1624530232467354,9.998912205255822
172.0,9.663376417112545,1.1624817399452048,9.9999183353453,1.1752807565500865,9.794706276641026,1.1649078471081018,9.738486637777548,1.1624525088364899,9.99890455939753
174.0,9.663275214644248,1.1624818156392385,9.999915566902553,1.175296270129306,9.794709471520289,1.1649238919305425,9.738642172077732,1.1624520007827641,9.99889715628657
176.0,9.663166296212658,1.1624818921249667,9.999912808750116,1.1753116640839472,9.794701302442371,1.1649398289999975,9.738785579714788,1.1624514977257792,9.998890001867439
178.0,9.663050025935727,1.16248196938822,9.999910061484098,1.1753269397311499,9.794682238885942,1.1649556589143182,9.738917315553003,1.162450997907792,9.998883104992837
180.0,9.662926754975112,1.1624820474148323,9.999907325693268,1.1753420983745315,9.794652734228453,1.1649713822850496,9.739037818954511,1.1624504993345153,9.998876472265966
182.0,9.662796822023358,1.162482126190648,9.999904601958956,1.1753571413044794,9.794613226349519,1.1649869997366702,9.739147514367993,1.1624500044737798,9.998870102619396
184.0,9.662660553774007,1.1624822057015263,9.999901890854947,1.1753720697984318,9.794564138205619,1.1650025119058598,9.739246811889068,1.162449516916564,9.998863993373407
186.0,9.662518265366803,1.1624822859333461,9.999899192947435,1.1753868851211378,9.79450587837981,1.1650179194407992,9.739336107796081,1.1624490353052597,9.99885815019304
188.0,9.662370260816509,1.1624823668720081,9.999896508794968,1.1754015885249052,9.794438841606343,1.1650332230004974,9.739415785061162,1.1624485578822965,9.998852581664057
190.0,9.662216833420892,1.1624824485034373,9.999893838948424,1.175416181249833,9.794363409272867,1.1650484232541432,9.739486213839216,1.1624480838475362,9.998847294133162
192.0,9.662058266151805,1.1624825308135867,9.999891183951018,1.1754306645240302,9.794279949900531,1.165063520880487,9.739547751935145,1.1624476119446883,9.998842291440532
194.0,9.661894832028489,1.162482613788434,9.999888544338306,1.175445039563824,9.794188819603562,1.165078516567243,9.739600745250849,1.1624471450249585,9.998837570596454
196.0,9.661726794477028,1.1624826974139875,9.999885920638231,1.175459307573956,9.79409036252904,1.165093411010517,9.739645528212785,1.162446686828908,9.998833127813967
198.0,9.661554407671266,1.1624827816762793,9.999883313371155,1.1754734697477651,9.793984911278644,1.165108204914255,9.739682424181721,1.1624462360261703,9.998828968194777
200.0,9.661377916862772,1.1624828665613687,9.999880723049936,1.1754875272673657,9.793872787312058,1.1651228989897127,9.739711745844486,1.1624457908314585,9.998825100069899
202.0,9.661197558696255,1.1624829520553384,9.999878150179988,1.1755014813038112,9.793754301334282,1.1651374939549488,9.739733795589892,1.1624453503968237,9.998821529684477
204.0,9.66101356150952,1.1624830381442923,9.999875595259383,1.175515333017254,9.793629753667116,1.1651519905343328,9.739748865869085,1.1624449134143058,9.998818260839586
206.0,9.660826145626492,1.1624831248143526,9.999873058778917,1.1755290835570926,9.793499434604893,1.1651663894580746,9.739757239540399,1.1624444838819012,9.99881529052026
208.0,9.66063552363221,1.1624832120516573,9.99987054122224,1.1755427340621143,9.793363624757047,1.165180691461771,9.739759190201307,1.1624440605794513,9.998812620059564
210.0,9.660441900641953,1.1624832998423553,9.999868043065938,1.1755562856606292,9.79322259537583,1.16519489728597,9.739754982505765,1.1624436463191046,9.998810249278621
212.0,9.66024547455673,1.1624833881726033,9.999865564779647,1.1755697394705997,9.793076608672001,1.1652090076757498,9.739744872469732,1.1624432402036502,9.99880818243641
214.0,9.660046436310965,1.1624834770285617,9.999863106826169,1.1755830965997613,9.792925918117675,1.1652230233803142,9.739729107764107,1.1624428408660885,9.998806426413331
216.0,9.659844970106583,1.1624835663963893,9.99986066966158,1.1755963581457394,9.792770768737887,1.1652369451526055,9.73970792799659,1.162442447677603,9.99880498635746
218.0,9.659641253643645,1.1624836562622403,9.99985825373533,1.1756095251961607,9.792611397390042,1.1652507737489277,9.739681564981613,1.1624420606000507,9.998803865420477
220.0,9.659435458339495,1.1624837466122584,9.999855859490363,1.175622598828758,9.792448033033805,1.1652645099285865,9.739650243000973,1.1624416799067425,9.998803065403937
222.0,9.659227749535658,1.1624838374325732,9.999853487363218,1.1756355801114728,9.792280896990599,1.1652781544535429,9.739614179054225,1.1624413059951162,9.998802587404953
224.0,9.65901828670462,1.1624839287092958,9.999851137784118,1.1756484701025522,9.792110203192175,1.1652917080880763,9.739573583098355,1.1624409392883255,9.998802432248883
226.0,9.658807223643446,1.1624840204285136,9.99984881117707,1.175661269850641,9.791936158421526,1.1653051715984644,9.739528658279989,1.1624405801911653,9.998802600734077
228.0,9.658594708661841,1.162484112576288,9.999846507959958,1.1756739803948721,9.79175896254409,1.1653185457526716,9.739479601158088,1.1624402278785857,9.99880309375183
230.0,9.658380884762913,1.1624842051386481,9.999844228544601,1.1756866027649513,9.791578808730632,1.1653318313200516,9.739426601918465,1.162439886405501,9.998803907178228
232.0,9.658165889817582,1.162484298101589,9.999841973336846,1.1756991379812405,9.791395883671928,1.1653450290710579,9.73936984458032,1.1624395556114553,9.998805042262473
234.0,9.65794985673328,1.162484391451068,9.999839742736608,1.175711587054837,9.791210367785768,1.1653581397769681,9.739309507195228,1.1624392343841525,9.998806504383962
236.0,9.657732913615938,1.1624844851730016,9.999837537137932,1.1757239509876485,9.791022435416725,1.1653711642096165,9.739245762039081,1.1624389232706762,9.998808298302864
238.0,9.657515183925078,1.1624845792532619,9.999835356929033,1.1757362307724706,9.790832255028732,1.1653841031411365,9.739178775796995,1.1624386183696584,9.998810432560958
240.0,9.657296786626194,1.1624846736776766,9.99983320249233,1.1757484273930547,9.79063998939054,1.165396957343714,9.739108709741252,1.1624383202336688,9.998812909397284
242.0,9.65707783633444,1.162484768432025,9.99983107420445,1.175760541824179,9.790445795755286,1.1654097275893491,9.739035719903493,1.162438030462087,9.998815726417638
244.0,9.656558403072314,1.162484863502038,9.999828972436253,1.1757725750317156,9.790249826033158,1.1654224146496261,9.738959957240196,1.1624377502072554,9.998818881648711
246.0,9.656710082540233,1.1624849588733976,9.999826897552833,1.175784588536668,9.78996804303797,1.1654349608056407,9.738796396910043,1.1624374801340056,9.998822374466645
248.0,9.656154045705122,1.162485054531735,9.999824849913486,1.175796448008597,9.78983164479397,1.1654475033260037,9.738778519233554,1.162437220602183,9.998826205383965
250.0,9.656298357311913,1.1624851504626317,9.999822829871707,1.1758082916641053,9.789563453293017,1.1654598971458279,9.73862673706822,1.1624369718122995,9.99883037564054
252.0,9.65573259494565,1.1624852466516202,9.999820837775149,1.1758199853721383,9.789431744913633,1.16547228788534,9.738611710072167,1.16243673389047,9.998834886879319
254.0,9.655871903794406,1.1624853430841848,9.999818873965578,1.175831668737442,9.789163278064205,1.16548452795187,9.738457753095368,1.1624365081275119,9.998839740936464
256.0,9.655302437039705,1.1624854397457631,9.999816938778826,1.1758432061445172,9.789029984828016,1.1654967645535663,9.738439209017212,1.162436292082364,9.998844944873145
258.0,9.65513991930298,1.1624855366217484,9.999815032544724,1.1758547365098178,9.788759402961396,1.165508850652835,9.738281182930223,1.1624360825761673,9.998850505682226
260.0,9.654941591600927,1.1624856336974918,9.999813155587027,1.175866184123664,9.788539945240258,1.165520875573033,9.738173522445752,1.1624358815342077,9.998856421104003
262.0,9.654742054856504,1.1624857309583054,9.999811308223352,1.1758775521549447,9.788330486154486,1.165532829176556,9.738074959279288,1.162435691316369,9.998862685570515
264.0,9.654536567848051,1.1624858283894661,9.999809490765067,1.1758888416669897,9.788125876188934,1.1655447133408803,9.737980355705066,1.1624355145007512,9.99886929566067
266.0,9.654328144413885,1.162485925976219,9.999807703517213,1.1759000558499455,9.78792233725666,1.1655565264688046,9.737885894988022,1.162435349164586,9.998876255668705
268.0,9.6541179614903,1.162486023703782,9.999805946778402,1.17591119697739,9.787718791352376,1.1655682680665105,9.73779047901293,1.1624351922189688,9.998883571605518
270.0,9.653906915216766,1.1624861215573494,9.999804220840696,1.1759222668276705,9.787514872709437,1.1655799380412408,9.737693729557432,1.1624350466787368,9.998891241254205
272.0,9.653695555220033,1.1624862195220997,9.999802525989516,1.1759332668150002,9.787310545492574,1.1655915366282303,9.73759560427473,1.1624349122017255,9.998899264738391
274.0,9.653484246894282,1.1624863175831974,9.999800862503506,1.175944198135236,9.787105884589513,1.1656030642491226,9.737496174998673,1.1624347867219436,9.998907644436398
276.0,9.653273241909856,1.1624864157258021,9.999799230654423,1.1759550618496504,9.786901000515583,1.1656145214368612,9.737395551313643,1.1624346737066504,9.998916376077199
278.0,9.65306272398181,1.1624865139350724,9.999797630707004,1.1759658589353628,9.786696009499732,1.1656259087896648,9.737293849837712,1.1624345729264487,9.998925459003143
280.0,9.652852834468945,1.162486612196173,9.999796062918847,1.1759765903145083,9.786491023393545,1.1656372269446482,9.737191183674746,1.1624344822649533,9.998934895580131
282.0,9.652643687326936,1.1624867104942813,9.99979452754028,1.1759872568713734,9.78628614682827,1.1656484765623298,9.73708765930498,1.1624344062713732,9.998944681910128
284.0,9.652435377940575,1.1624868088145939,9.999793024814224,1.1759978594626515,9.786081477020142,1.1656596583173704,9.736983376231475,1.162434339671425,9.998954823011964
286.0,9.652227988506528,1.1624869071423345,9.999791554976069,1.1760083989237646,9.78587710439461,1.1656707728928604,9.73687842750624,1.1624342856043286,9.998965316566052
