Method,Scenario,Direction,K (gain),tau (delay_s),T (time_const_s),R_squared
EXPLICIT,upstream_flow,Q_to_h,0.11885030868347138,102.70663100253279,9.696226931059986,0.994340201870301
EXPLICIT,upstream_flow,Q_to_Q,1.7486561867658528,375.227356554884,130.73672487366144,0.6306481249498272
EXPLICIT,upstream_flow,h_to_h,0.11325055285122435,71.02185753617967,113.4092756187679,0.9732986365361725
EXPLICIT,upstream_flow,h_to_Q,1.9687169881229107,101.64225486192231,7.775769015025494,0.9988386899042079
EXPLICIT,downstream_depth,Q_to_h,0.1884282158355975,103.29403406109223,7.795458029099168,0.9993141688155657
EXPLICIT,downstream_depth,Q_to_Q,-0.1569442562444944,100.01287499260592,0.3695542299488155,-0.26754435798126286
EXPLICIT,downstream_depth,h_to_h,0.0062077250669229644,484.99997320972534,60.78844920880622,0.9944242986090246
EXPLICIT,downstream_depth,h_to_Q,0.0027913265549217585,429.9999782608489,499.9994209371718,0.014186087776319356
PREISSMANN,upstream_flow,Q_to_h,0.11722656079772055,100.00000027625596,19.263060399108415,0.9972437435994211
PREISSMANN,upstream_flow,Q_to_Q,0.7901248907868904,608.6008901649096,32.306645577042545,-0.020442884692924324
PREISSMANN,upstream_flow,h_to_h,0.10088230487549868,74.22621591303034,119.48505771566043,0.9769448133359702
PREISSMANN,upstream_flow,h_to_Q,1.951662236391166,99.99999981932712,15.84446166829024,0.9990667731180088
PREISSMANN,downstream_depth,Q_to_h,0.18950690965002498,100.56698077969362,17.487888541483155,0.999761498960729
PREISSMANN,downstream_depth,Q_to_Q,-0.4378051320068263,102.36451944608699,0.10228046976212206,-0.3253084471529768
PREISSMANN,downstream_depth,h_to_h,-6.762692924255914e-05,566.8277133113058,48.03469372112938,0.019131354071903472
PREISSMANN,downstream_depth,h_to_Q,-0.0021839784853532815,612.4999999999978,81.94326275218798,0.18325777662339493
HLL,upstream_flow,Q_to_h,0.1216984937683666,102.71535382056115,4.232328062028532,0.9977171358802489
HLL,upstream_flow,Q_to_Q,1.9806961935707865,275.8147930201649,127.7696020617756,0.795598972520132
HLL,upstream_flow,h_to_h,0.1262668754361246,60.38783045642276,195.4401760397986,0.9761531059963681
HLL,upstream_flow,h_to_Q,1.9665443941887764,101.44126054154003,5.3906070963386545,0.9973492372819113
HLL,downstream_depth,Q_to_h,0.19520051629583213,101.94557769967233,4.26749649098919,0.9994021607855851
HLL,downstream_depth,Q_to_Q,1.5840030134575163,251.9775496867984,148.83706737235678,0.4813556901408922
HLL,downstream_depth,h_to_h,0.046632456457944844,324.4401343501102,13.847813134840894,0.9913347662251503
HLL,downstream_depth,h_to_Q,0.021400809442332604,304.92849793501006,0.1000049575308083,0.035510676360250404
