Time (days),water_temperature,dissolved_oxygen,ice_thickness,ice_cover_fraction,NH4,NO3,PO4,chlorophyll_a
0.0000,2.000000,12.000000,0.000000,0.000000,0.307433,1.207348,N/A,12.000000
0.9583,2.151292,12.246782,0.000000,0.000000,0.313625,1.214913,N/A,11.029820
1.9583,2.175752,12.423165,0.000000,0.000000,0.318734,1.222605,N/A,10.137017
2.9583,2.112178,12.561633,0.000000,0.000000,0.322892,1.230354,N/A,9.316728
3.9583,1.987726,12.681325,0.000000,0.000000,0.326206,1.238108,N/A,8.563840
4.9583,1.821331,12.793069,0.000000,0.000000,0.328769,1.245825,N/A,7.873281
5.9583,1.626168,12.902667,0.000000,0.000000,0.330658,1.253474,N/A,7.240170
6.9583,1.411392,13.012967,0.000000,0.000000,0.331943,1.261032,N/A,6.659876
7.9583,1.183362,13.125152,0.000000,0.000000,0.332687,1.268481,N/A,6.128053
8.9583,0.946497,13.239502,0.000000,0.000000,0.332946,1.275807,N/A,5.640651
9.9583,0.703863,13.355854,0.000000,0.000000,0.332771,1.282999,N/A,5.193917
10.9583,0.457589,13.473858,0.000000,0.000000,0.332211,1.290050,N/A,4.784388
11.9583,0.209153,13.593116,0.000000,0.000000,0.331271,1.297009,N/A,4.408877
12.9583,0.075674,13.700374,0.000000,0.000000,0.329957,1.303929,N/A,4.063819
13.9583,0.023852,13.785289,0.000000,0.000000,0.328300,1.310810,N/A,3.745962
14.9583,0.000000,13.852646,0.000000,0.000000,0.326333,1.317646,N/A,3.453069
15.9583,0.000000,13.906773,0.000000,0.000000,0.324085,1.324433,N/A,3.183151
16.9583,0.000000,13.950996,0.000000,0.000000,0.321583,1.331164,N/A,2.934391
17.9583,0.000000,13.987752,0.000000,0.000000,0.318855,1.337836,N/A,2.705121
18.9583,0.000000,14.018869,0.000000,0.000000,0.315923,1.344444,N/A,2.493806
19.9583,0.000000,14.045533,0.000000,0.000000,0.312809,1.350985,N/A,2.299030
20.9583,0.000000,14.068797,0.000000,0.000000,0.309532,1.357457,N/A,2.119496
21.9583,0.000000,14.089249,0.000000,0.000000,0.306113,1.363855,N/A,1.954003
22.9583,0.000000,14.107510,0.000000,0.000000,0.302567,1.370178,N/A,1.801452
23.9583,0.000000,14.123801,0.000000,0.000000,0.298911,1.376425,N/A,1.660823
24.9583,0.000000,14.138437,0.000000,0.000000,0.295158,1.382592,N/A,1.531183
25.9583,0.000000,14.151720,0.000000,0.000000,0.291323,1.388679,N/A,1.411671
26.9583,0.000000,14.163780,0.000000,0.000000,0.287418,1.394684,N/A,1.301494
27.9583,0.000000,14.174836,0.000000,0.000000,0.283454,1.400606,N/A,1.199921
28.9583,0.000000,14.185051,0.000000,0.000000,0.279442,1.406444,N/A,1.106281
29.9583,0.000000,14.194458,0.000000,N/A,N/A,N/A,N/A,1.019952
